Name,Name Clean,reviewers,Address,Type,lon,lat
LA Fitness,LA Fitness,512,"75 5th Street Northwest Ste E, Atlanta",LA_fitness,-84.38912310000000,33.77744300000000
LA Fitness,3.8,588,"6131 Peachtree Parkway, Peachtree Corners",LA_fitness,-84.23623550000000,33.9517077
LA Fitness,3.7,501,"1155 Mount Vernon Highway #600, Dunwoody",LA_fitness,-84.3498888,33.9329462
Life Time,3.7,407,"855 North Point Parkway, Alpharetta",Lifetime,-84.2619939,34.0798542
LA Fitness,4,632,"3232 Peachtree Road Northeast Ste A, Atlanta",LA_fitness,-84.37397,33.8444023
Stone Summit Climbing Atlanta,4.5,524,"3701 Presidential Parkway, Atlanta",Independent,-84.2676269,33.8842805
LA Fitness,4,419,"11720 Medlock Bridge Road #400, Duluth",LA_fitness,-84.1708007,34.0679786
The Body Firm Atlanta,5,3,"2750 Buford Highway Northeast Suite #730, Duluth",Independent,-84.1301558,34.0069755
Om Thai Yoga Wellness Center,5,9,"855 Mount Vernon Highway, Atlanta",Independent,-84.35931840000000,33.9288625
LA Fitness,4,878,"1860 Duluth Highway, Lawrenceville",LA_fitness,-84.07732040000000,33.9750516
LA Fitness,3.4,429,"261 19th Street Northwest Ste 1140, Atlanta",LA_fitness,-84.39647,33.7936575
Springs Yoga Studio,5,15,"4920 Roswell Road Suite 3, Atlanta",Independent,-84.3835175,33.8886768
Planet Fitness,4.1,645,"1455 Pleasant Hill Road, Lawrenceville",Planet Fitness,-84.1238348,33.9398495
Life Time,3.8,716,"1823 North Brown Road, Lawrenceville",Lifetime,-84.08296730000000,33.98597580000000
Life Time,3.6,486,"11555 Johns Creek Parkway, Johns Creek",Lifetime,-84.167001,34.0612093
LA Fitness,3.9,859,"1990 West Exchange Place, Tucker",LA_fitness,-84.24626430000000,33.8420189
Life Time,3.9,379,"5600 Roswell Road, Sandy Springs",Lifetime,-84.38148870000000,33.9066969
Sweet Science Fitness Boxing Club,4.8,112,"6035 Peachtree Boulevard C223, Atlanta",Independent,-84.2879694,33.9080261
LA Fitness,3.8,401,"1544 Piedmont Avenue Northeast Ste 115, Atlanta",LA_fitness,-84.3711202,33.7980064
The Manor Golf & Country Club,4.6,209,"15952 Manor Club Drive, Milton",Independent,-84.2619878,34.1691397
Crunch Fitness,,,,Crunch_Fitness,-84.345026,34.0342573
Crossfit Breaking Boundaries,,,,Crossfit,-84.5586726355821,34.1118462072026
OrangeTheory,,,,OrangeTheory,-84.5586726355821,34.1118462072026
TapOut Fitness,,,,TapOut Fitness,-84.5257965412783,34.0857196784032
Crunch Fitness,,,,Crunch_Fitness,-84.4621501438646,34.0390497575677
Just Fitness 4U,,,,Independent,-84.34026948755920,34.03861956481010
Roswell Barbell,,,,Independent,-84.32893726256580,34.05440688890920
The Forge,,,,Independent,-84.36189536441790,34.016120392119900
Roswell Fitness Factory,,,,Independent,-84.37498126256530,34.0108799999996
Orange Theory,,,,,-84.38143290674660,34.05993899999980
Spenga Roswell,,,,,-84.38531082209140,34.06142666451810
CrossFit Sweat Mountain,,,,,-84.38977626256520,34.060816670606000
SFX Fitness,,,,,-84.38831889710800,34.06261233518060
LA Fitness,,,,,-84.39178127976180,34.06308568014820
Workout Anytime Roswell,,,,,-84.4223459239423,34.028511108380300
LifeTime,,,,,-84.45449816071280,34.08038247970540
Onelife Fitness Woodstock,,,,,-84.46721744907320,34.08535768605310
Fit Body Camp,,,,,-84.47075449867960,34.08725553866740
HEW Fitness,,,,,-84.53886375330360,34.10573091224380
R2 Total Fitness 24/7,,,,,-84.57340800859900,34.12690806835810
Workout Anytime Milton,,,,,-84.27182831786020,34.11799040186090
LA Fitness,,,,,-84.26788770304160,34.08912685269510
Orange Theory,,,,,-84.26047119348200,34.06795413883180
ATL Fitness 24/7 Alpharetta,,,,,-84.28413299140150,34.05004113481340
F45,,,,,-84.29411119510710,34.06788501259480
CORE57,,,,,-84.29300790674550,34.07447466041140
The Training Box,,,,,-84.32574163558240,34.05122233228080
