Name,lon,lat
LA Fitness,-84.38912310000000,33.77744300000000
LA Fitness,-84.23623550000000,33.9517077
LA Fitness,-84.3498888,33.9329462
Life Time,-84.2619939,34.0798542
LA Fitness,-84.37397,33.8444023
Stone Summit Climbing Atlanta,-84.2676269,33.8842805
LA Fitness,-84.1708007,34.0679786
The Body Firm Atlanta,-84.1301558,34.0069755
Om Thai Yoga Wellness Center,-84.35931840000000,33.9288625
LA Fitness,-84.07732040000000,33.9750516
LA Fitness,-84.39647,33.7936575
Springs Yoga Studio,-84.3835175,33.8886768
Planet Fitness,-84.1238348,33.9398495
Life Time,-84.08296730000000,33.98597580000000
Life Time,-84.167001,34.0612093
LA Fitness,-84.24626430000000,33.8420189
Life Time,-84.38148870000000,33.9066969
Sweet Science Fitness Boxing Club,-84.2879694,33.9080261
LA Fitness,-84.3711202,33.7980064
The Manor Golf & Country Club,-84.2619878,34.1691397
Crunch Fitness,-84.345026,34.0342573
Crossfit Breaking Boundaries,-84.5586726355821,34.1118462072026
OrangeTheory,-84.5586726355821,34.1118462072026
TapOut Fitness,-84.5257965412783,34.0857196784032
Crunch Fitness,-84.4621501438646,34.0390497575677
Just Fitness 4U,-84.34026948755920,34.03861956481010
Roswell Barbell,-84.32893726256580,34.05440688890920
The Forge,-84.36189536441790,34.016120392119900
Roswell Fitness Factory,-84.37498126256530,34.0108799999996
Orange Theory,-84.38143290674660,34.05993899999980
Spenga Roswell,-84.38531082209140,34.06142666451810
CrossFit Sweat Mountain,-84.38977626256520,34.060816670606000
SFX Fitness,-84.38831889710800,34.06261233518060
LA Fitness,-84.39178127976180,34.06308568014820
Workout Anytime Roswell,-84.4223459239423,34.028511108380300
LifeTime,-84.45449816071280,34.08038247970540
Onelife Fitness Woodstock,-84.46721744907320,34.08535768605310
Fit Body Camp,-84.47075449867960,34.08725553866740
HEW Fitness,-84.53886375330360,34.10573091224380
R2 Total Fitness 24/7,-84.57340800859900,34.12690806835810
Workout Anytime Milton,-84.27182831786020,34.11799040186090
LA Fitness,-84.26788770304160,34.08912685269510
Orange Theory,-84.26047119348200,34.06795413883180
ATL Fitness 24/7 Alpharetta,-84.28413299140150,34.05004113481340
F45,-84.29411119510710,34.06788501259480
CORE57,-84.29300790674550,34.07447466041140
The Training Box,-84.32574163558240,34.05122233228080
